Column1,DIRECTORIO,DIRECTORIO_HOG,DIRECTORIO_PER,NVCAP99,DPTOMPIO,FEX_C,LOCALIDAD_TEX,COD_UPZ,CODLOCALIDAD,NVCBP1,NVCBP2,NVCBP3,NVCBP4,NVCBP5,NVCBP6,NVCBP7,NVCBP8A,NVCBP8B,NVCBP8C,NVCBP8E,NVCBP8F,NVCBP10,NVCBP11AA,NVCBP11DA,NVCBP13,NVCBP14A,NVCBP14C,NVCBP14D,NVCBP14E,NVCBP14F,NVCBP14G,NVCBP14I,NVCBP14K,NVCBP15A,NVCBP15C,NVCBP15D,NVCBP15E,NVCBP15F,NVCBP15G,NVCBP15H,NHCCP1,NHCCP2,NHCCP3,NHCCP5,NHCCP6,NHCCP7,NHCCP9,NHCCP10,NHCCP11,NHCCP12,NHCCP14,NHCCP14A,NHCCP15A,NHCCPCTRL2,NHCCP19,NHCCP20,NHCCP20A,NHCCP24,NHCCP26,NHCCP26A,NHCCP28A,NHCCP29A,NHCCP32,NHCCP35A,NHCCP38,NHCCP393,NHCCP39C,NHCCP39D,NHCCP39E,NHCCP39F,NHCCP39G,NHCCP399,NHCCP40A,NHCCP40D,NHCCP40E,NHCCP40F,NHCCP40G,NHCCP40H,NHCCP40I,NHCCP40J,NHCCP40K,NHCCP40L,NHCCP41,NHCCP41A,NHCCP41B,NHCCP42,NHCCP42A,NHCCP42CB,NHCCP44,NHCCP44B,NHCCP45,NHCCP45A,NHCCP45B,NHCCP46A,NHCCP46B,NHCCP46C,NHCCP46D,NHCCP46E,NHCCP46F,NHCCP46G,NHCCP46H,NHCCP46I,NHCCP46J,NHCCP46K,NHCCP46L,NHCCP46M,NHCDP1,NHCDP2,NHCDP2A,NHCDP2B,NHCDP3,NHCDP4,NHCDP4A,NHCDP4B,NHCDP5,NHCDP6,NHCDP6A,NHCDP6B,NHCDP7,NHCDP7A,NHCDP10,NHCDP10A,NHCDP11,NHCDP11B,NHCDP13,NHCDP15,NHCDP17,NHCDP17A,NHCDP18,NHCDP18B,NHCDP20,NHCDP21,NHCDP23,NHCDP23B,NHCDP24,NHCDP25,NHCDP25A,NHCDP26,NHCDP26A,NHCDP27,NHCDP27B,NHCDP29,NHCDP29B,NHCDP30A,NHCDP30B,NHCDP31,NHCDP32,NHCDP32B,ORDEN.E,NPCEP4,NPCEP5,NPCEP6,NPCEP7,NPCEP8A,NPCEP9,NPCEP9A,NPCEP9B,NPCEP10,NPCEP11A,NPCEP11AA,NPCEP11AB,NPCEP11AC,NPCEP11,NPCEP13,NPCEP13A,NPCEP13B,NPCEP13C,NPCEP15,NPCEP16A1,NPCEP16AA,NPCEP16AB,NPCEP16B1,NPCEP18,NPCEP19,NPCEP21,NPCEP21A,NPCEP22,NPCEP22A,NPCEP24,NPCEP24A,NPCEP25,NPCEP25A,NPCEP26,NPCEP5A,ORDEN.F,NPCFP2,NPCFP3,NPCFP5,NPCFP7,NPCFP8,NPCFP8A,NPCFP9,NPCFP11,NPCFP11A,NPCFP12,NPCFP14A,NPCFP14B,NPCFP14D,NPCFP14E,NPCFP14J,NPCFP15,NPCFP16,NPCFP18,NPCFP19,NPCFP20,NPCFP22,NPCFP23,NPCFP24,NPCFP24A,NPCFP24B,NPCFP26,NPCFP26A,NPCFP27,NPCFP29,NPCFP30,NPCFP32,NPCFP33A,NPCFP33AA,NPCFP33B,NPCFP33BA,NPCFP33C,NPCFP33CA,NPCFP33DA,NPCFP33E,NPCFP33EA,NPCFP33FA,NPCFP34,NPCFP35A,NPCFP35AA,NPCFP35BA,NPCFP36,NPCFP37,NPCFP39,NPCFP39A,NPCFP40A,NPCFP40B,NPCFP40C,NPCFP40D,NPCFP40E,NPCFP40F,NPCFP40,NPCFP42,NPCFP43A,NPCFP44,NPCFP45,ORDEN.G,ORDEN.H,NPCHP2,NPCHP3,NPCHP4,NPCHP4A,NPCHP5,NPCHP6,NPCHP6A,NPCHP7,NPCHP10,NPCHP10A,NPCHP11,NPCHP11A,NPCHP12,NPCHP13A,NPCHP13B,NPCHP14,NPCHP15A,NPCHP15B,NPCHP16,NPCHP17,NPCHP19B,NPCHP20,NPCHP20A,NPCHP20B,NPCHP21A,NPCHP21AA,NPCHP21B,NPCHP21BA,NPCHP21CA,NPCHP22,NPCHP22A,NPCHP23,NPCHP23A,NPCHP24AA,NPCHP24AB,NPCHP24BA,NPCHP24BB,NPCHP28A,NPCHP28B,NPCHP31AA,NPCHP31AB,NPCHP31BA,NPCHP31BB,NPCHP31CA,NPCHP31CB,NPCHP31DA,NPCHP31DB,NPCHP31EA,NPCHP31EB,NPCHP31FA,NPCHP31FB,NPCHP32,NPCHP32A,NPCHP33,NPCHP34,NPCHP34A,NPCHP35A,NPCHP35C,NPCHP35E,NPCHP35I
1967,160570,1605701,16057012,30OCT2017:00:00:00,25785,52.436.515.109,,,,2,1.0,1,2,1,2,,2,2,2,2,2,2,3.0,1.0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,,,,,,"9,00E+05",1,,3,,,3,3,2,2,,2.0,,,10.0,1.0,1.0,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,,,,,,2,,1,2.0,0.0,,,5,5,10,10,5,15,20,20,20,5,20,2,,,,2,,,,2,,,,,,,,,,2.0,1,,,,,1.0,1,30000,2.0,1,1,1.0,2,,1,1.0,30000,2.0,,,,,,2,44,2,2,6.0,1.0,3,11.0,11001.0,1.0,2,11.0,11001.0,,2,2.0,,,,,1.0,,,,,,3,,99.0,,3,,10.0,,1.0,2,2,1.0,,215000,1.0,2.0,,39.0,,,2,2,2,2,2,2,2,2,,,,,,,,,2,,,,2,,2,,2,,2,,,2,,,0,2,,,2.0,,,,1.0,1.0,,1.0,2.0,1.0,1.0,,39.0,,,,2.0,2.0,,9.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11.0,5.0,56.0,25.0,,,0.0,11.0,9.0,1.0,,,,,,2.0,2.0,2.0,2.0
1968,160574,1605741,16057412,30OCT2017:00:00:00,25785,48.870.562.893,,,,4,1.0,2,1,1,3,,2,2,2,2,2,1,4.0,1.0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1.0,"5,00E+08",2016.0,"5,00E+08","9,00E+05",,2,1.0,3,,,2,4,2,2,,2.0,,,,3.0,2.0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,2.0,,,2,,1,2.0,2.0,,,1,1,1,2,5,10,15,20,20,3,20,1,30000,2.0,1.0,1,10000,2.0,1.0,1,30000,2.0,1.0,2.0,,2.0,,"1,00E+05",2.0,2.0,1,2.0,,30000.0,1.0,1.0,1,20000,1.0,2,1,1.0,2,,1,1.0,112000,1.0,,,1.0,40000,1.0,2,23,2,3,5.0,,2,,,1.0,1,,,,1,,,,,,2.0,,,11.0,,,2,,2.0,,1,1.0,,,1.0,2,2,1.0,,,2.0,1.0,,40.0,,,1,2,2,2,2,2,2,2,,,,,,,,,2,,,,2,,2,,2,,2,,,2,,,5000,1,180000,,1.0,,,,1.0,,,1.0,1.0,1.0,2.0,,,1.0,1.0,,2.0,1.0,,,,,7.0,5.0,5.0,,,,,1.0,,,,,,,,45.0,2.0,,,1.0,"3,00E+06",1.0,"2,00E+06",,1.0,40000,2.0,,,,,,,,6.0,0.0,6.0,6.0,35.0,17.0,7.0,1.0,1.0,7.0,4.0,2.0,,,,,,2.0,2.0,2.0,2.0
1969,160582,1605821,16058212,31OCT2017:00:00:00,25785,35.896.571.552,,,,4,1.0,1,2,1,1,,1,1,2,1,2,1,3.0,2.0,4,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,1,,1.0,"5,00E+08",1982.0,,"6,00E+05",,2,1.0,3,,,3,3,2,2,,2.0,,4.0,,1.0,1.0,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,,,,,,2,,1,2.0,2.0,,,5,5,3,1,5,10,15,10,15,10,5,1,31811,2.0,1.0,1,10747,2.0,1.0,1,23973,2.0,1.0,2.0,,2.0,,47387,1.0,1.0,1,2.0,,50000.0,2.0,1.0,2,,,2,2,,2,,2,,,,,,1.0,17000,2.0,2,58,2,2,6.0,1.0,3,15.0,15516.0,2.0,2,15.0,15516.0,,2,2.0,,,,,1.0,,,,,,2,,10.0,,2,,99.0,,1.0,2,2,1.0,,,2.0,2.0,,30.0,,,4,2,1,1,2,2,2,2,,,,,,,,,1,3.0,232000,2.0,1,2.0,1,2900,1,0,2,,,1,102300,,0,2,,,4.0,2.0,,,2.0,2.0,,1.0,2.0,1.0,,,,,,,2.0,2.0,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,0.0,0.0,0.0,30.0,12.0,,,0.0,0.0,1.0,0.0,,,,,,2.0,2.0,2.0,2.0
1970,160614,1606141,16061411,27OCT2017:00:00:00,25781,1,,,,1,,2,2,2,2,,1,2,2,2,2,1,1.0,1.0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,,,,,,,"2,00E+05",2,2.0,3,,,3,2,1,1,,3.0,68000.0,,,1.0,,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,,,,,,2,,2,,,,,10,8,5,3,5,6,5,6,4,99,10,1,12000,2.0,1.0,1,7900,2.0,1.0,1,4900,2.0,1.0,2.0,,2.0,,15000,1.0,2.0,2,,,,,,2,,,2,2,,2,,2,,,,,,1.0,2000,1.0,1,32,1,1,2.0,2.0,2,,,1.0,1,,,,1,,,,,,1.0,,,,,,2,,2.0,,2,,99.0,,2.0,1,1,1.0,,12500,2.0,2.0,,30.0,,,3,2,1,2,2,2,2,2,,,,,,,,,2,,,,2,,2,,2,,2,,,2,,,0,2,,,4.0,3.0,,,,,,2.0,2.0,2.0,,,,,,,1.0,2.0,6.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,6.0,5.0,1.0,30.0,12.0,,,0.0,5.0,0.0,0.0,,,,,,2.0,2.0,2.0,2.0
1971,160620,1606201,16062011,28OCT2017:00:00:00,25781,1,,,,4,1.0,1,2,1,1,,2,2,2,1,2,2,2.0,1.0,6,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,160000,1.0,"2,00E+07",2008.0,,"2,00E+05",,2,1.0,3,,,4,3,2,2,,2.0,,,,1.0,,1,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,,,,,,2,,2,,,,,5,5,3,4,3,4,4,4,4,99,6,1,39412,4.0,1.0,1,5818,2.0,1.0,1,9570,2.0,1.0,2.0,,2.0,,10000,2.0,2.0,1,2.0,,10420.0,1.0,2.0,2,,,2,2,,2,,2,,,,,,1.0,6000,2.0,1,40,2,1,5.0,,2,,,2.0,1,,,,1,,,,,,1.0,,,,,,2,,10.0,,2,,10.0,,1.0,2,1,1.0,,30000,2.0,2.0,,30.0,,,3,2,1,2,2,2,3,1,8.0,1.0,2.0,,,,,,2,,,,2,,1,0,2,,2,,,2,,,3000,2,,,1.0,,,,1.0,2.0,,1.0,2.0,2.0,1.0,,26.0,,,,1.0,2.0,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,6.0,0.0,0.0,30.0,32.0,,,2.0,0.0,0.0,0.0,,,,,,2.0,2.0,2.0,2.0
1972,160620,1606201,16062012,28OCT2017:00:00:00,25781,1,,,,4,1.0,1,2,1,1,,2,2,2,1,2,2,2.0,1.0,6,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,160000,1.0,"2,00E+07",2008.0,,"2,00E+05",,2,1.0,3,,,4,3,2,2,,2.0,,,,1.0,,1,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,,,,,,2,,2,,,,,5,5,3,4,3,4,4,4,4,99,6,1,39412,4.0,1.0,1,5818,2.0,1.0,1,9570,2.0,1.0,2.0,,2.0,,10000,2.0,2.0,1,2.0,,10420.0,1.0,2.0,2,,,2,2,,2,,2,,,,,,1.0,6000,2.0,2,14,1,3,5.0,,2,,,1.0,2,25.0,25899.0,,2,2.0,,,,,1.0,,,,,,2,,99.0,,1,1.0,,,,1,2,1.0,,,2.0,2.0,,30.0,8000,4.0,3,2,2,2,2,2,3,2,,,,,,,,,2,,,,2,,2,,2,,2,,,2,,,12000,2,,,2.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,3.0,6.0,,2.0,,2.0,,1.0,,,,,,1.0,4.0,3.0,1.0,0.0,7000.0,2.0,,1.0,"3,00E+05",,1.0,30000,2.0,,,,,,,,0.0,4.0,0.0,0.0,60.0,20.0,20.0,4.0,10.0,20.0,3.0,2.0,1.0,1.0,,,,,,,
1973,160621,1606211,16062111,28OCT2017:00:00:00,25781,1,,,,4,1.0,2,2,1,2,,2,2,2,2,2,2,3.0,1.0,6,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,,,,,,,230000,1,,3,,,3,3,2,2,,2.0,,,,1.0,,1,2,2,1,1,1,2,2,1,2,2,2,1,2,2,2,1,2,2,,,,,,2,,2,,,,,5,5,2,2,4,4,3,3,3,99,10,1,15200,2.0,1.0,1,6400,2.0,1.0,1,9600,2.0,1.0,2.0,,2.0,,12000,1.0,2.0,1,2.0,,9000.0,1.0,2.0,2,,,2,2,,2,,2,,,,,,1.0,6000,1.0,1,26,2,1,5.0,,2,,,2.0,1,,,,1,,,,,,1.0,,,,,,2,,1.0,4.0,2,,1.0,2.0,1.0,2,1,1.0,,14000,2.0,3.0,2.0,30.0,,,2,2,1,2,2,2,2,2,,,,,,,,,2,,,,2,,2,,2,,2,,,2,,,0,2,,,1.0,,,,1.0,,,2.0,2.0,2.0,1.0,,18.0,1.0,1.0,,1.0,2.0,6.0,5.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,4.0,0.0,0.0,30.0,12.0,,,4.0,0.0,0.0,0.0,,,,,,2.0,2.0,2.0,2.0
1974,160637,1606371,16063712,30OCT2017:00:00:00,25781,1,,,,4,1.0,2,2,1,2,,2,2,2,2,2,2,2.0,1.0,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1.0,"6,00E+07",2013.0,"2,00E+07",250000,,2,1.0,3,,,3,3,2,2,,2.0,,,,1.0,1.0,2,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,,,,,,2,,2,,,,,10,10,5,1,3,4,5,4,6,99,10,1,12000,2.0,1.0,1,8300,2.0,1.0,1,7400,2.0,1.0,2.0,,2.0,,20000,1.0,2.0,1,2.0,,4000.0,1.0,2.0,2,,,2,2,,2,,2,,,,,,1.0,6000,1.0,2,11,2,3,5.0,,2,,,1.0,1,,,,1,,,,,,1.0,,,,,,3,,1.0,2.0,1,1.0,,,,2,2,1.0,,,2.0,3.0,5.0,30.0,,,3,2,2,2,2,2,3,2,,,,,,,,,2,,,,2,,2,,2,,2,,,2,,,0,2,,,2.0,,,,,,,,,,2.0,,,,,,2.0,1.0,,,,,2.0,4.0,,2.0,,2.0,,1.0,,,,,,1.0,1.0,10.0,2.0,,,2.0,,1.0,450000,,1.0,20000,2.0,,,,,,,,0.0,4.0,0.0,0.0,40.0,16.0,30.0,2.0,6.0,30.0,0.0,0.0,1.0,1.0,,,,,,,
1975,160647,1606471,16064715,31OCT2017:00:00:00,25781,1,,,,3,2.0,1,2,1,2,,2,2,2,2,2,2,2.0,1.0,4,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,"4,00E+05",1.0,2.3e+08,2010.0,,"4,00E+05",,2,1.0,3,,,5,4,3,3,,2.0,,,,1.0,1.0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,,,,,2,,2,,,,,7,6,7,7,6,5,5,7,5,6,5,1,80000,2.0,2.0,1,5000,2.0,1.0,1,11000,2.0,2.0,2.0,,2.0,,80000,2.0,2.0,1,2.0,,35000.0,2.0,1.0,2,,,2,2,,2,,2,,,,,,1.0,6000,1.0,5,6,1,4,,,2,,,1.0,2,25.0,25843.0,,1,,,,,,1.0,,,,,,2,,4.0,,1,4.0,,,,1,5,3.0,,,2.0,2.0,,10.0,,,2,2,2,2,2,2,1,2,,,,,,,,,2,,,,2,,2,,2,,2,,0,2,,,0,2,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,1.0,1.0,,2.0,,2.0,,1.0,,,,,,1.0,1.0,10.0,2.0,,,2.0,,1.0,250000,,1.0,1000,2.0,,,,,,,,0.0,2.0,0.0,0.0,40.0,16.0,4.0,0.0,2.0,4.0,0.0,0.0,1.0,2.0,,,,,,,
1976,160648,1606481,16064812,25OCT2017:00:00:00,25817,42.775.759.793,,,,2,2.0,1,2,2,3,,2,2,2,2,2,2,2.0,3.0,4,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,3,,,,,,,470000,2,1.0,3,,,2,3,2,2,,2.0,,,,1.0,1.0,2,1,2,2,2,2,2,2,1,1,2,1,2,1,2,1,2,1,2,,,,,,2,,2,,,,,2,2,1,1,1,1,4,1,4,1,1,1,17000,1.0,2.0,1,98,,,1,98,,,1.0,3.0,1.0,3.0,40000,2.0,2.0,1,1.0,3.0,6000.0,2.0,1.0,2,,,2,1,1.0,2,,2,,,,,,1.0,5000,2.0,2,20,2,4,5.0,,2,,,1.0,1,,,,1,,,,,,2.0,,,8.0,,,2,,4.0,,2,,4.0,,1.0,2,2,1.0,,,2.0,5.0,6.0,2.0,,,2,2,2,2,2,1,1,2,,,,,,,,,2,,,,2,,2,,2,,1,2900,,2,,,2900,1,210000,,4.0,2.0,,,1.0,,,2.0,1.0,2.0,2.0,,,1.0,1.0,,2.0,2.0,14.0,6.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,2.0,0.0,40.0,12.0,,,0.0,2.0,10.0,0.0,,,,,,2.0,2.0,2.0,2.0
1977,160668,1606681,16066814,31OCT2017:00:00:00,25151,29.472.802.906,,,,4,1.0,1,2,1,1,,2,2,2,2,2,1,3.0,3.0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,,,,,,,"6,00E+05",2,3.0,3,,,4,4,3,3,,2.0,,,6.0,1.0,1.0,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,,,,,,2,,2,,,,,5,5,5,10,10,10,10,5,5,5,5,1,43733,2.0,1.0,1,27486,2.0,1.0,1,27139,2.0,1.0,2.0,,2.0,,39000,1.0,2.0,1,2.0,,18000.0,1.0,2.0,2,,,2,1,1.0,2,,1,2.0,55000,1.0,,,1.0,28000,1.0,4,10,2,4,5.0,,2,,,1.0,1,,,,1,,,,,,1.0,,,,,,2,,4.0,,1,2.0,,,,2,4,1.0,,,2.0,2.0,,5.0,,,2,2,1,2,2,1,1,2,,,,,,,,,2,,,,2,,1,2900,2,,2,,,2,,,0,2,,,2.0,,,,,,,,,,2.0,,,,,,4.0,1.0,,,,,2.0,4.0,,2.0,,2.0,,2.0,,,,,,1.0,1.0,5.0,2.0,,,1.0,120000,1.0,"8,00E+05",,2.0,,1.0,40000,,,,,,,0.0,4.0,0.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,,
1978,160715,1607151,16071511,26OCT2017:00:00:00,25099,31.622.104.261,,,,4,3.0,1,2,1,2,,1,1,1,2,1,1,2.0,2.0,4,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,,1.0,"2,00E+08",2001.0,,"5,00E+05",,2,3.0,3,,,5,5,4,2,,2.0,,5.0,3.0,2.0,2.0,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,2,1,2,1,1.0,0.0,2.0,,,2,,1,4.0,0.0,,,2,2,3,2,2,3,6,3,2,5,5,1,2875,1.0,1.0,1,1023,1.0,1.0,1,6933,1.0,1.0,2.0,,2.0,,42000,2.0,1.0,1,2.0,,13770.0,1.0,1.0,2,,,2,1,1.0,2,,1,1.0,50000,2.0,,,1.0,27000,2.0,1,50,1,1,6.0,2.0,3,15.0,15087.0,1.0,2,15.0,15087.0,,2,2.0,,,,,1.0,,,,,,2,,10.0,,3,,2.0,,2.0,1,1,3.0,,,1.0,2.0,,5.0,,,2,2,1,2,2,1,1,2,,,,,,,,,2,,,,2,,2,,2,,2,,,2,,,0,2,,,1.0,,,,,,2.0,1.0,2.0,1.0,,,,,,,1.0,2.0,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,50.0,20.0,,,2.0,0.0,1.0,0.0,,,,,,2.0,2.0,2.0,2.0
1979,160749,1607491,16074911,28OCT2017:00:00:00,11001,7.827.821.711,SUBA,23.0,11.0,4,1.0,1,1,1,7,1.0,2,2,2,2,2,2,4.0,3.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1400000,1.0,"3,00E+06",2008.0,,1500000,,2,1.0,1,250000,,3,4,2,2,,2.0,,,,3.0,3.0,1,2,2,2,2,2,2,2,1,1,1,1,2,1,2,1,1,2,1,1.0,0.0,1.0,1.0,,2,,1,2.0,0.0,40.0,5.0,5,5,5,10,10,10,15,30,30,5,40,1,95000,2.0,2.0,1,98,,,1,98,,,2.0,,2.0,,"1,00E+05",2.0,2.0,1,2.0,,30000.0,2.0,1.0,1,120000,2.0,2,1,3.0,1,1.0,1,2.0,98,,,,1.0,98,,1,67,1,1,6.0,2.0,3,25.0,25123.0,1.0,2,25.0,25123.0,,1,,,,,,1.0,,,,,,2,,8.0,,3,,4.0,,2.0,1,1,1.0,,99,2.0,2.0,,20.0,99,1.0,2,2,2,2,2,1,1,2,,,,,,,,,2,,,,2,,1,0,2,,2,,,1,0,,0,2,,,3.0,,,,,,1.0,1.0,2.0,1.0,,,,,,,1.0,2.0,,9.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,0.0,15.0,6.0,30.0,12.0,,,0.0,15.0,1.0,1.0,,,,,,2.0,2.0,2.0,2.0
1980,160779,1607791,16077911,25OCT2017:00:00:00,11001,54.383.326.333,ENGATIVA,29.0,10.0,2,1.0,1,2,1,2,,2,2,2,2,2,2,3.0,3.0,4,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,3,,,,,,,"4,00E+05",1,,3,,,3,3,1,1,,2.0,,,,1.0,1.0,1,1,2,1,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,,,,,,2,,1,1.0,0.0,15.0,2.0,3,40,15,2,2,15,15,90,90,3,16,1,20000,2.0,2.0,1,20000,2.0,2.0,1,22600,2.0,2.0,1.0,2.0,1.0,2.0,45000,2.0,2.0,1,2.0,,6200.0,2.0,1.0,2,,,2,2,,2,,2,,,,,,3.0,,,1,24,1,1,2.0,2.0,3,17.0,17433.0,2.0,2,17.0,17433.0,,2,3.0,17.0,17433.0,,4.0,,,,,,,2,,2.0,,3,,2.0,,2.0,1,1,1.0,,221000,2.0,2.0,,20.0,,,2,2,2,2,2,2,1,2,,,,,,,,,2,,,,2,,2,,2,,1,40000,20000,2,,,0,1,"2,00E+05",10000,2.0,,,,,,,2.0,2.0,2.0,,,,1.0,1.0,,1.0,2.0,6.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,6.0,0.0,0.0,50.0,20.0,,,5.0,0.0,0.0,0.0,,,,,,2.0,2.0,2.0,2.0
1981,160825,1608251,16082512,28OCT2017:00:00:00,11001,20.655.815.678,ENGATIVA,810.0,10.0,2,1.0,1,2,1,3,,2,2,2,2,2,2,3.0,3.0,4,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,,,,,,,"7,00E+05",1,,3,,,2,3,2,2,,2.0,,,,1.0,,1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,1,1,2,2,,,,,,2,,2,,,30.0,15.0,10,30,10,3,15,30,20,45,30,15,45,1,116000,2.0,2.0,1,40000,2.0,2.0,1,30000,2.0,2.0,1.0,3.0,1.0,3.0,60000,2.0,2.0,1,1.0,3.0,30000.0,2.0,2.0,2,,,1,2,,2,,1,2.0,60000,1.0,1.0,1.0,,,,2,65,2,5,5.0,,2,,,1.0,1,,,,1,,,,,,1.0,,,,,,2,,99.0,,2,,99.0,,1.0,2,2,1.0,,,2.0,2.0,,50.0,,,2,2,2,2,2,2,2,2,,,,,,,,,2,,,,2,,2,,2,,2,,,2,,,0,2,,,2.0,,,,1.0,1.0,,2.0,1.0,1.0,,,,,,,2.0,2.0,,5.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,3.0,2.0,8.0,9.0,,,5.0,3.0,5.0,3.0,,,,,,2.0,2.0,2.0,2.0
1982,160830,1608301,16083013,30OCT2017:00:00:00,11001,40.236.430.522,ENGATIVA,810.0,10.0,2,1.0,1,2,1,3,,2,2,2,2,2,1,3.0,3.0,4,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,,1.0,1.7e+08,1972.0,,"8,00E+05",,2,1.0,3,,,6,7,5,4,,2.0,,,,3.0,,1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,1,1,2,1,1.0,0.0,1.0,1.0,,2,,1,2.0,0.0,30.0,15.0,10,30,15,5,10,30,30,45,50,25,60,1,160000,2.0,2.0,1,40000,2.0,2.0,1,30000,2.0,2.0,2.0,,2.0,,75000,2.0,2.0,1,2.0,,60000.0,2.0,2.0,1,50000,2.0,1,1,1.0,1,1.0,1,2.0,70000,1.0,,,1.0,40000,1.0,3,23,2,3,5.0,,2,,,1.0,1,,,,1,,,,,,1.0,,,,,,1,1.0,,,1,2.0,,,1.0,2,3,1.0,,,2.0,2.0,,60.0,,,1,2,2,2,2,2,2,2,,,,,,,,,1,2.0,150000,2.0,2,,2,,2,,2,,,2,,50000.0,20000,2,,,1.0,,,,1.0,,,1.0,1.0,1.0,2.0,,,1.0,2.0,,3.0,1.0,,,,,7.0,6.0,6.0,,,,,1.0,,,,,,,,75.0,2.0,,,1.0,1600000,1.0,"2,00E+05",,2.0,,2.0,,,,,,,,5.0,2.0,5.0,3.0,8.0,5.0,0.0,4.0,5.0,0.0,4.0,1.0,,,,,,2.0,2.0,2.0,2.0
1983,160841,1608411,16084111,26OCT2017:00:00:00,11001,20.680.627.504,FONTIBON,114.0,9.0,2,1.0,1,2,1,2,,1,1,2,2,2,2,4.0,2.0,4,2,2,2,1,2,2,1,2,1,1,1,2,2,2,2,1,,1.0,"6,00E+08",2011.0,,"2,00E+06",,1,,3,,,3,5,3,2,,2.0,,,,2.0,2.0,2,2,1,1,1,2,1,2,1,2,2,1,1,2,2,2,2,1,1,2.0,2.0,1.0,2.0,2.0,2,,2,,,15.0,5.0,5,15,5,15,5,10,15,60,30,15,10,1,130000,2.0,2.0,1,95000,2.0,2.0,1,38000,2.0,2.0,2.0,,2.0,,55000,2.0,2.0,1,2.0,,35000.0,2.0,1.0,1,30000,2.0,2,1,1.0,1,1.0,1,2.0,60000,2.0,,,1.0,60000,2.0,1,71,2,1,3.0,,3,54.0,54223.0,1.0,2,54.0,54223.0,,2,2.0,,,,,1.0,,,,,,3,,3.0,2.0,3,,10.0,,1.0,2,1,1.0,,,1.0,3.0,1.0,90.0,"7,00E+05",4.0,3,1,2,1,1,1,1,2,,,,2.0,1.0,1.0,2.0,,2,,,,2,,1,0,2,,2,,,1,0,,80000,1,220000,,1.0,,,,2.0,2.0,,1.0,2.0,1.0,,,,,,,1.0,2.0,,7.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,40.0,16.0,,,15.0,0.0,4.0,2.0,,,,,,1.0,1.0,1.0,1.0
